84.235.250.237,443,AE,Dubai AS31898 Oracle Svenska AB
176.97.66.175,443,AE,Dubai AS9009 3nt solutions LLP
84.235.245.65,2096,AE,Dubai Oracle Corporation
152.32.181.246,44070,AE,Dubai AS44578 ITGLOBAL COM DMCC
20.174.15.226,443,AE,Dubai AS8075 Microsoft Corporation
3.29.240.49,443,AE,Dubai AS16509 Amazon Data Services UAE
90.156.221.54,443,AE,Dubai AS44578 ITGLOBAL COM DMCC
2.56.204.246,443,AM,Yerevan AS216058 Proitlab LLC
2.56.206.160,443,AM,Yerevan AS216058 Proitlab LLC
77.91.68.113,50443,AM,365.partners INC
213.159.76.202,2053,AM,PQ HOSTING PLUS S.R.L.
195.250.87.42,4443,AM,GNC-Alfa CJSC
2.56.206.114,8443,AM,Yerevan AS216058 Proitlab LLC
2.56.204.183,443,AM,Yerevan AS51327 RETN AM Limited Liability Compan
213.159.76.202,8443,AM,Yerevan PQ HOSTING PLUS S.R.L.
2.56.206.114,2053,AM,Yerevan AS51327 RETN AM Limited Liability Compan
139.45.214.122,443,AM,Yerevan AS51327 RETN AM Limited Liability Compan
139.45.214.126,443,AM,Yerevan AS51327 RETN AM Limited Liability Compan
190.103.177.23,443,AR,SONDATECH S.A.S.
190.103.177.23,74,AR,SONDATECH S.A.S.
190.103.177.23,20205,AR,SONDATECH S.A.S.
151.236.8.190,443,AT,EDIS GmbH
46.102.156.144,2053,AT,Hohl IT e.U.
94.177.8.78,2053,AT,Hohl IT e.U.
94.177.8.122,2053,AT,Hohl IT e.U.
46.102.156.144,8443,AT,Hohl IT e.U.
94.177.8.122,8443,AT,Hohl IT e.U.
185.119.117.146,8443,AT,IPAX GmbH
188.172.229.141,8443,AT,netcup GmbH
207.211.146.175,443,AU,Melbourne AS31898 Oracle Corporation
207.211.148.122,443,AU,Melbourne AS31898 Oracle Corporation
207.211.157.214,443,AU,Melbourne AS31898 Oracle Corporation
152.67.125.161,443,AU,Oracle Public Cloud
16.176.42.97,443,AU,Amazon Corporate Services Pty Ltd
207.148.80.190,443,AU,The Constant Company LLC
137.23.29.90,443,AU,Toongabbie West AS31898 Oracle Corporation
194.195.252.133,74,AU,Akamai Connected Cloud
194.195.252.133,443,AU,Akamai Connected Cloud
194.195.252.133,20205,AU,Akamai Connected Cloud
170.64.152.77,7443,AU,DigitalOcean LLC
125.7.24.251,443,AU,Macquarie Technology Operations Pty Limited
207.211.153.234,443,AU,Oracle Corporation
192.9.190.80,23862,AU,Oracle Corporation
152.67.101.72,23010,AU,Oracle Corporation
152.69.160.194,16137,AU,Oracle Corporation
130.162.193.183,15401,AU,Oracle Corporation
45.77.236.204,443,AU,The Constant Company LLC
152.67.115.72,43288,AU,Oracle Corporation
185.99.2.175,443,BA,Globalhost doo  Virtual Private Servers
103.115.253.253,443,BD,Star Internet Service
103.159.170.124,443,BD,MD AKASH AS ONLINE
103.48.16.37,443,BD,Bangladesh Computer Council
148.177.146.71,443,BE,Johnson  Johnson
45.83.20.29,443,BE,WorkTitans B.V.
35.210.99.51,443,BE,Google LLC
35.241.172.224,443,BE,Google LLC
185.190.250.26,7445,BG,Friendhosting LTD
185.204.53.58,443,BG,Hosting Provider Virterion LLC
185.205.210.83,443,BG,Belcloud LTD
185.232.170.111,443,BG,FIRST SERVER SOCIEDAD LIMITADA
185.232.170.226,443,BG,FIRST SERVER SOCIEDAD LIMITADA
185.232.171.94,443,BG,FIRST SERVER SOCIEDAD LIMITADA
193.239.160.134,443,BG,FIRST SERVER SOCIEDAD LIMITADA
78.128.127.93,443,BG,DA International Group Ltd
91.210.166.145,443,BG,Friendhosting LTD
91.215.154.48,443,BG,Friendhosting LTD
91.215.155.140,443,BG,Friendhosting LTD
185.205.210.144,443,BG,Belcloud LTD
185.148.146.9,443,BG,Belcloud LTD
185.203.116.174,443,BG,Belcloud LTD
185.141.61.113,2053,BG,Belcloud LTD
185.177.59.153,2053,BG,Belcloud LTD
185.205.209.90,17010,BG,Belcloud LTD
185.205.209.90,18836,BG,Belcloud LTD
185.205.209.90,18812,BG,Belcloud LTD
185.205.209.90,18849,BG,Belcloud LTD
193.9.47.18,57205,BG,Belcloud LTD
79.124.7.236,444,BG,DA International Group LTD
91.215.153.85,443,BG,GREEN FLOID LLC
185.82.218.224,8443,BG,GREEN FLOID LLC
185.82.218.224,9443,BG,GREEN FLOID LLC
185.82.218.224,443,BG,GREEN FLOID LLC
195.123.225.28,81,BG,GREEN FLOID LLC
91.210.166.102,443,BG,GREEN FLOID LLC
185.162.10.111,2053,BG,GREEN FLOID LLC
195.123.225.224,2053,BG,GREEN FLOID LLC
193.239.160.89,443,BG,FIRST SERVER LIMITED
185.162.10.111,8443,BG,GREEN FLOID LLC
195.123.225.224,8443,BG,GREEN FLOID LLC
38.180.79.9,443,BR,M247 Europe SRL
38.180.78.255,443,BR,M247 Europe SRL
146.235.59.153,2053,BR,Oracle Corporation
144.22.144.168,4242,BR,Oracle Corporation
144.22.204.102,50317,BR,Oracle Corporation
146.235.59.153,8443,BR,Oracle Corporation
209.14.69.94,34237,BR,QNAX LTDA
167.160.190.137,443,CA,Toronto AS36352 HostPapa
179.255.184.6,443,CA,Toronto AS214238 IT Hostline Ltd
72.11.146.199,443,CA,Toronto AS36352 HostPapa
159.203.2.180,443,CA,Toronto AS14061 DigitalOcean LLC
